Iteration Number,Unchanged,numpy_vectorised,cython,unchanged_w_optimisation_flag,numba,numba_and_numpy,numba_omp
50,3.130508,2.197961,1.830503,0.589,0.467997,0.468032,0.486781
100,6.131434,5.705087,3.746514,0.572,0.947268,0.944249,1.049677
200,12.22541,10.682665,7.571965,0.571,1.904104,1.898687,2.036396
300,18.803782,15.332239,11.14943,0.567,3.132977,2.903425,3.349459
400,25.251567,19.876336,14.90208,0.569,3.78568,3.730981,3.980253
500,31.127504,23.859736,18.97688,0.561,5.057019,4.98058,5.017308
600,36.775282,28.34889,22.697512,0.593,5.733836,5.636169,6.09948
700,43.570396,32.826684,26.07704,0.56,6.933632,7.30013,6.7301
800,48.851926,36.866841,29.696756,0.583,7.665822,7.926355,7.838548
900,56.001403,41.463742,33.55273,0.567,8.773892,8.960344,8.740293
1000,62.380564,45.605795,37.4205,0.56,9.590313,9.568583,9.853522
